segment_id	text	annotator_1	annotator_2	annotator_3	agreed_rating
1055	"""You'll kill Tull!"" He did not question; he affirmed. ""I promised Jane Withersteen I'd try to avoid Tull. I'll keep my word. But sooner or later Tull and I will meet. As I feel now, if he even looks at me I'll draw!"" ""I reckon so. There'll be hell down there, presently."" He paused a moment and flicked a sage-brush with his quirt. ""Venters, seein' as you're considerable worked up, tell me Milly Erne's story."" Venters's agitation stilled to the trace of suppressed eagerness in"	2		1	1
1056	"""That,"" said the Philosopher, ""may be accounted for in three ways—firstly, there is a lack of cerebral continuity: that is, faulty attention; secondly"	0		1	0
1057	"She glanced at him quickly, to see if he had noticed it. ""Why did you say end?"" He saw that her eyes were full of tears and chafed her. ""You ain't thinking of divorcing me, like Mountain Pink done Bosky?"""	2		1	2
1058	"It is the actions of the past that brought about the present woes, and it is they that must be undone. For their part, the Futurists want to change the present through the future, to go into the future and bring back its completion, in the form of restored RNA cells, which is congruent with their belief that the past is the past and all that matters is that which is yet to come, that which still has the hope of existence."""	0		0	0
1059	The company was very sorry, of course, that the thing had occurred; but they refused to pay for Keeling unless compelled to do so by the law of the land, and there matters stood.	0		0	0
1060	His voice was soft and calm. His tapering fingers with their carefully manicured nails fondled the roll of parchment, and then unrolled it, and held it so the other could read.	2		2	2
1061	When they saw her and shouted down the sound fell as clearly as if they had called from the cabin, yet they had a good half hour's labor between that greeting and the moment they came out on the level before Kate.	1		1	1
1062	She could not divine its meaning. But it was such a driving passion that no man possessing it and free to the violence of war could ever escape death.	0		0	0
1063	He told a story full of elaborate detail, and had an answer to everything, except the curious fact that the body couldn't be found; but the judge, who was probably drunk at the time—this was in Restoration days—made nothing of that. The mother and brother denied the accusation.	2		2	2
1064	"Thereupon, hauling out his precious snuffbox and rapping upon the lid, he offered a pinch around. Then calling attention to the inscription, he demanded to know whether a man who had behaved so well upon that occasion had need to be afraid of a whole churchful of devils. ""I would,"" he cried, ""offer the Devil a pinch, as I have offered it to you. Then I would bid him read this and tell me whether he dared to say that black was the white of my eye."""	2		0	2
1065	They were in part peculiar indeed, but I have followed them to each last detail as faithfully as I was able. He directed that I remove his body to Virginia without embalming, and that he be laid in an open coffin within a tomb which he previously had had constructed and which, as I later learned, was well ventilated.	0		2	2
1066	He dashed down the stairs, but was late by only the fraction of a second, as a metal hand was just closing the huge door to the Graveyard of Genius. He fumbled at the secret combination, and as he was doing so Eva and Zita joined him.	3		2	2
1067	I wondered); children breaking out of school; grave philosophers debating in the shadow of a cool arcade; a royal person making a progress preceded by runners and surrounded by slaves, and lastly the multitudes of citizens going about the daily business of life.	3		4	3
1068	Allowing for a few obsolete words, and sundry slight changes of pronunciation, the ordinary Japanese reader to-day can enjoy these early productions of his native muse with about as little difficulty as the English reader finds in studying the poets of the Elizabethan era. Moreover, the refinement and the [pg 28] simple charm of the Manyōshū compositions have never been surpassed, and seldom equaled, by later Japanese poets.	0		0	0
1069	And when Mrs. Spear tried to stop sobbing long enough to tell him how happy she was, and how grateful, he instead told her what a fine son she had, and that he remembered when Spear used to carry flowers to town for her. And she remembered it, too, and thanked him for the flowers. And he told Spear, when Isaacs & Sons went bankrupt, which at the rate they were giving away their money to the Hebrew Hospital would be very soon,	2		0	2
1070	They trotted across half the intervening distance, and when Florence halted again Madeline was still not satisfied and asked to be taken nearer. This time, before they reined in again, Al Hammond saw them and wheeled his horse in their direction.	3		3	3
1071	"Save me! They're after me! Look at 'em; look at 'em!"""	0		0	0
1072	Casita to-night hardly knowing where I was.  A boy took me to that hotel.  There I met an old friend whom I had not seen for years. He belongs to the cavalry stationed here.  He had befriended a Spanish girl—fallen in love with her.  Rojas had killed this girl's father—tried to abduct her.... You know what took place at the hotel.	2		0	2
1073	Swinging his bloody horns from side to side the beast cut a wide swath before him straight upward toward our seats.  Before him slaves and gorilla-men fought in mad stampede to escape the menace of the creature's death agonies, for such only could that frightful charge have been. Forgetful of us, our guards joined in the general rush for the exits, many of which pierced the wall of the amphitheater behind us.  Perry,	4		5	4
1074	Near the bell-push a sign was painted in neat letters upon the marble, and the sign read: NO ADMITTANCE EXCEPT ON BUSINESS This did not discourage Dorothy, however, and she rang the bell.	3		2	3
1075	"Réné having satisfied Has-se that the secret should be kept, the latter continued: ""Know, then, oh my brother, that when my people aided thy people to build this fort of thine, they constructed secretly, and by Micco's own orders, a passage beneath one of its walls, by which they might at any time obtain access to the fort or escape from it, as they might desire."	2		1	2
1076	"Whither had the robber gone? Back into the thin air whence he had come.
There was no other solution. No tracks ahead; an absolute and physical impossibility of anything without wings getting up or down the flanking precipices—these were the incontestable facts."	1		0	1
1077	"""And now I was to see the most weird and horrible thing, I think, of all that I beheld in that future age. This whole space was as bright as day with the reflection of the fire."	2		2	2
1078	If they did not they could at least reconnoiter the ground by daylight, and then when night came Turan could quickly come close to the city and in comparative safety prosecute his search for food and drink.	0		0	0
1079	"One of his sons whistled low, causing Naab to rise slowly, to peer into the darkness, to listen intently. ""Here, get up,"" he said, extending a hand to Hare."	3		2	3
1080	"In my efforts to escape we both fell into the water, and he, striking his head upon the edge of the wharf, was first stunned and then drowned."" ""Thank God!"""	3		3	3
1081	Now and then some of the braves went forth on a war-party, or on a hunt after bears or buffaloes.  But the buffaloes were scarce, they told their chief; the herds must have wandered far, and the hunters often returned empty-handed.	1		2	1
1082	Well, suppose you're camping out, and suppose it's a hot night, or you're in a hurry, and you've made camp late, or anyway you haven't got inside any tent, but you have just bedded down in the open.	3		1	3
1083	It was now spring, and seeing the item in the paper, about the touring club prize for an electric auto, had given him a new idea. But all thoughts of electric cars, and everything else, were driven from the mind of the young man, when, with his father, he rushed out to see the cause of the crash on the roof of the Swift homestead.	3		1	3
1084	But the other servants treated Nerle with much deference, noting in him an air of breeding that marked him the unusual servant of an unusual master. Indeed, most curious were the looks cast on these marvelous men who had calmly walked into the castle of mighty Terribus and successfully defied his anger; for in spite of his youthful appearance and smiling face every attendant at the banquet feared Prince Marvel even more than they feared their own fierce king.	3		2	3
1085	"Beloved, oh, not yet! Nothing is finished that we have to do and be:—hardly begun! I will not call even this ""midsummer,"" however much it seems so: it is still only spring."	0		0	0
1086	"Boy appeared. I didn't mean to visit any very big towns afterwards, for it wasn't civilisation I wanted; but—you came into the story, and I did lots of things I hadn't meant to do—because of you, Man."""	1		1	1
1087	"You are clever and beautiful and have hosts of admirers. But—are you satisfied?"" She stared absently at the silk tassel, twirling it about her white fingers more and more rapidly."	3		2	2
1088	"""An thou speakest another word in such strain of those who have favored us with naught save kindness, I will report thee to that same lash of which thou pratest so glibly."""	0		0	0
1089	A dozen years ago, as a lad of barely twenty, Levasseur had sailed with that monster of cruelty L'Ollonais, and his own subsequent exploits bore witness and did credit to the school in which he had been reared.	3		0	2
1090	"An' the more ye struggle and fuss the less He can take hold of ye, and get a grup on ye with His feet—"" ""I'd like to feel sure they were God's, and not any other sort of feet,"" she said slowly, leaving her fish to go cold, though she was very hungry."	1		3	1
1091	Chapter 4: Onan, Lord of the Past Not wishing to delve too far into my past or relate what would be mundane and disconnected with my story, I will summarize with brevity what my situation was.	0		0	0
1092	"I doan't want no talk with you or them hulking gert fules. 'T is you I'd ax, Martin Grimbal, by what right you'm here."" ""You wouldn't answer my letters, and I couldn't find it in my heart to leave an important matter like this. I know I wasn't wise, but you don't understand what a priceless thing this is. I thought you'd find the new one in the morning and laugh at it. For"	0		0	0
1093	"We got up and looked out. Our house was surrounded by the whole population of Popsipetel.
We were used to having quite a number of curious and admiring Indians waiting at our door at all hours; but this was quite different. The vast crowd was dressed in its best clothes. Bright beads, gawdy feathers and gay blankets gave cheerful color to the scene. Every one seemed in very good humor, singing or playing on musical instruments—mostly painted wooden whistles or drums made from skins."	4		5	4
1094	"What harm does it do you to stay here a while?"" he asked doggedly. ""Don't you see? When my father hears of it he will be furious. I made
Phil promise not to tell him. But he'll hear when he comes back. And then—there will be trouble. He'll drag me from you, or he'll die trying. He's that kind of man."""	0		0	0
1095	"Peter Ruff sighed. ""My friend Fitzgerald,"" he remarked, ""will be glad to hear that."""	0		0	0
1096	And she was not disappointed. When her maid, a stolid Englishwoman, appeared at her bedside early Saturday she carried a letter, which she handed over, with the turned-up nose of one who aids but does not approve. Quickly the girl tore it open.	3		3	3
1097	11.  They Meet the Wooden Gargoyles Another breathless climb brought our adventurers to a third landing where there was a rift in the mountain.  On peering out all they could see was rolling banks of clouds, so thick that they obscured all else.	3		3	3
1098	And what Punk was able to contribute to the story throws no further light upon it. He was cleaning fish by the lake shore about five o'clock in the evening—an hour, that is, before the search party returned—when he saw this shadow of the guide picking its way weakly into camp. In advance of him, he declares, came the faint whiff of a certain singular odour.	4		4	4
1099	"Tebrick ever laughed at his wife's transformation, for he was not very humorous. But this laugh was sour and painful to him. Then he tore up the photograph into little pieces, and scattered them out of the window, saying to himself: ""Memories will not help me here,"" and turning to the vixen he saw that she was still staring at the caged bird, and as he looked he saw her lick her chops."	3		3	3
1100	"There was a dreadful screaming of horses, a shrieking of men. Then silence.


Shuddering, I looked. Where the mounted men had been was—nothing.


Nothing? There were two great circular spaces whose floors were glistening, wetly red. Fragments of man or horse—there was none. They had been crushed into—what was it Norhala had promised—had been stamped into the rock beneath the feet of her—servants."	3		4	3
1101	He had the same rations of rice and ragi {a cereal}, with occasional doles of more substantial fare. He was carefully kept from all communication with the other European prisoners, and as the Bengali was the only man of his set who knew English, his only opportunities of using his native tongue occurred in the evening before he slept.	1		0	1
1102	From later observation—I mention this as worthy the attention of paleontologists and naturalists—I came to the conclusion that such creatures as the cave-bear, the cave-lion and the saber-tooth tiger, as well as the larger carnivorous reptiles make, ordinarily, two kills a day—one in the morning and one after night.  They immediately devour the entire carcass, after which they lie up and sleep for a few hours.	3		0	3
1103	Manator and prepare them for their part in the plan that U-Thor and	0		0	0
1104	"""All right,"" it would mean; ""I only wanted to know where you are,"" but it did not come. Instead—two shots again in rapid succession—an interval—and then another."	0		0	0
1105	"""We'll rush them,"" said Dell. ""Remember how those men, the day we branded, rushed the cattle into the branding chute."" ""They could do things that we wouldn't dare--those were trail men."" ""The cattle are just as much afraid of a boy as of a man; they don't know any difference. You point them and I'll rush them."	3		1	3
1106	"""At any rate, there the nuggets were, to the value, as it turned out afterwards, of about twelve hundred and fifty pounds, so that after all I took out of that hole four hundred and fifty pounds more than I put into it."	2		1	2
1107	"With an exclamation the district attorney broke in upon her. ""And the man,"" he demanded eagerly; ""was it he killed Banf?""
In amazement the woman stared. ""Certainly not!"" she said."	2		0	1
1108	"The riverman turned on him almost savagely. ""Down soon!"" he snorted. ""So'll the water be 'down soon.' It's dropping every minute. That telegraft of yours won't even start out before to-morrow morning. Don't you fool yourself. That Twin Falls outfit is just too tickled to do us up. It'll be two days before anybody shows up, and then where are you at? Hell!"" and the old riverman relapsed into a disgusted silence."	0		3	3
1109	"His hands were gently holding hers, and his eyes—suddenly she could no longer look into them. “Strong?” she echoed, trembling. “I—I will be.”
Up on the stone-flag drive, nicked with the marks made by the iron-shod hoofs of her racers, Lassiter led her, his grasp ever growing firmer."	3		3	3
1110	At this Di coloured and tapped her foot on the well-curb. He seemed to have her now, and enjoyed his triumph. But Di looked up at him shyly and looked down.	3		1	
1111	But I had other notions about handling the Rhamda. Being satisfied that mere strength and agility were valueless against him, I concluded that he, likewise realising this, would be on the lookout for any possible trap.	0		0	0
1112	"When he was opposite my companion, I saw a tremor, immediately suppressed, run through both men.
They looked at each other for an instant in silence.
Then, bowing, and in a very calm voice, the Targa spoke: ""Peace be with you, Lieutenant de Saint-Avit."""	2		1	
1113	I wholly concurred in Ja's belief, but it seemed that it might be a difficult matter to exterminate the dominant race of Pellucidar.  Thus conversing we followed the intricate trail toward the temple, which we came upon in a small clearing surrounded by enormous trees similar to those which must have flourished upon the outer crust during the carboniferous age.	4		2	
1114	Nature has decreed that certain plants shall be hardy, and therefore suitable to suburban amateur gardeners; the suburban amateur gardener persists in trying to grow quite other plants, and in despising those marked out by Nature for his use. It is to correct this tendency that this article is written.	1		0	
1115	The crimes in the name of religion! How he thought of the blood and the ruin laid at the door of religion! He wondered if that were so with Nas Ta Bega's religion, and he meant to find out some day. The women he liked best he imagined the least religious, and they made less effort to attract him.	0		0	0
1116	"Harland in a cotton frock, and shady straw hat. But no Nick was visible, and Carmen's pleasure was dashed.
The brother and sister met her cordially, took her to look at the bubbling spring in its kiosk, and then up the height on the scenic railway."	3		2	
1117	"There was silence, I know, for a long time before she spoke again. ""In time, then, my father left his estates and went out to a small place in the country; but my mother—her heart was broken."	0		0	0
1118	"""Torode came across himself with four big boat-loads of rascals, with carronades in their boats, too, and they have turned the Island upside down in search of you."	4		1	
1119	Frankly, it's too much for me. If I were a story-writer I might figure it out, but I'm not. No matter, they're here, anyhow; that's all. Here two of our own people died ten centuries ago, trying to preserve civilization and the world's history for future ages, if there were to be any such.	0		1	
1120	At first, indeed, His Majesty thought his queer visitor was laughing at him, and was inclined to resent such a liberty; but it was not without reason that the Scarecrow had attained the reputation of being the wisest personage in the	3		3	3
1121	All these expressions I have. And now, my friend, I would be a help to you. I would give you eyes to understand your past; and a vision to choose a better future. If you have ever been Dionysius, which you have not, you are yet an unawakened soul. I would have you become	1		0	
1122	"Again all happened just as the princess said.


Beppo came to the palace, and again the king whispered in his ear. As he did so Beppo looked at the prime-minister and smiled, and then he withdrew."	3		0	
1123	"Then he stood quite still at the aperture whence the soft breeze came blowing in, lost in thought. ""It doth get very hot here in the summer days,"" he remarked, ""and in especial at this end of the room, where it abuts upon the leads."	2		2	2
1124	"Then he looked up.  It was to see the face that had dwelt in his dreams by night, his reveries by day, the face that he had seen but now—the ""face that was the fairest""!"	1		1	1
1125	The excessive amusement that seized this offensive person when he beheld your well-defined figure in the distance arose from his perception of your internal satisfaction, which is, indeed, unmistakably reflected in your symmetrical countenance.	1		1	1
1126	"And he illustrated with his eight acid-stained fingers. ""Spread out like a disk or sphere of flame, of electric fire, you see."" ""Yes, and what then?"" demanded Flint, while his partner, forgetting now to smile, sat there by the window scrutinizing him."	4		4	4
1127	"Then a burst of coughing again and the blood in thick clots gurgled up from the throat. Then after a little she spoke again. ""Oh, Rob, you hae made me very happy."	3		3	3
1128	"On the other hand, the whole character of my mission was affected by the decision at which I had now arrived. There was no longer a necessity to speak plainly to anybody. That odious duty was eliminated from my plan of campaign, and the ""frontal attack"" of recent history discarded for the ""turning movement"" of the day. So I had learnt something in South"	0		0	0
1129	CHAPTER XXX HOW I FOUND MY LOVE IN THE CLEFT Waited till the night seemed growing old to me, for the waiting in that dark cleft was weary work, with the water, which I could no longer see, swelling and sinking beneath me, carrying me up and up and up, pumping and grinding against the unseen rocks, then down and down and down into the depths, wet and wallowing, and fearful every moment of a wound beyond repair to my frail craft.	3		3	3
1130	"He was darkly handsome, his eyeglasses were fastened to a black ribbon, and he addressed his hostess as ""dear lady."" He was that sort. Women described him as ""dangerous,"" and liked him because he talked of things they did not understand, and because he told each of them it was easy to see it would be useless to flatter her."	2		3	
1131	"Desmond, two of the Council shamed 'emselves for ever. Mr.
Manningham and Mr. Frankland, special friends of Mr. Drake, attended the ladies to the ship--'twas the Dodalay, of which they are owners--and they stayed on board with 'em--the cowards, to set such an infamous example! And well 'twas followed. 'Tis scarce credible, but Captain Minchin, our gallant commander, and Mr."	3		1	
1132	light, air-thin vessels of graceful shapes: an ampulla of exquisite outline with a long curved spout that bent upwards and then outwards and over like	2		4	
1133	"If she had not understood him she at least HAD GUESSED. ""Min fader,"" she said quietly, with the tip of her little forefinger on the man in the picture."	2		1	
1134	"He peered at the body. ""He sends the Fire that kills,"" said he, in his deep voice, repeating part of the Ritual. The others gathered round and stared for a space."	3		1	
1135	"""Yes, old chap,"" I said, ""I'll do anything you jolly well like. I'm sick of doing nothing."" ""First rate!"" he answered. ""Then that's settled. I've all sorts of ideas and theories about the Holt Manor robbery and this affair of mine, and that telegram to-day, and other things that have happenedsome you know about, some you don't. I have a friend who was for twenty years at"	0		0	0
1136	But in his fresher days he had known the spell of the Uplift Club and the thrill of moving among the Emancipated; and he felt an odd sense of rejuvenation as he looked at the rows of faces packed about the embowered platform from which Howland Wade was presently to hand down the eternal verities.	3		0	
1137	"[pg 79] Tsumi fukaki Umi ni shidzumishi, Yūréï no ""Ukaman"" toté ya!
Funé ni sugaréru.


[pg 80] Ukaman to Funé we shitaëru Yuréï wa, Shidzumishi híto no Omoï naruran.
[The ghosts following after our ship in their efforts to rise again (or, ""to be saved"") might perhaps be the (last vengeful) thoughts of drowned men.44] Uraméshiki Sugata wa sugoki Yuréï no, Kaji we jama suru Funé no Tomomori."	3		4	
1138	His speech ended in a fit of breathlessness. He lay there, gasping. The doctor bent forward, looking at him first in perplexity and afterwards in amazement.	3		3	3
1139	We're terrible few for such a big place, but we maun make up for shortness o' numbers by extra mobility. The gemkeeper will keep the windy that looks on the verandy, and fell[Pg 264] any man that gets through.	0		0	0
1140	Tarzan leaped upon him—as Sabor springs to the kill, so sprang the ape-man. The momentum and weight of his body hurled the German to the ground, powerful fingers prevented an outcry and, though the officer struggled, he had no chance and a moment later lay dead beside the body of the dog.	3		5	
1141	She laughed and said it was foolish for the women to call her the Sago Lily. She had no coquetry; she spoke as she would have spoken of the stones at her feet; she did not know that she was beautiful.	1		1	1
1142	But all the while I was wondering about the Virginian: eating with him, sleeping with him (only not so sound as he did), and riding beside him often for many hours.	3		3	3
1143	As the car drew up in front of the Carwell mansion, from the bell of which fluttered a dismal length of crepe, a man stepped from the shadow of the gate posts and held out a paper to Harry Bartlett.	4		5	
1144	"""‘Don't look so vexed, stranger,' went on my tormentor, ‘perhaps there is some shine in the old girl yet; anyway you are a downright good fellow, you are, therefore you will, I guess, have a real A1 opportunity of working on the feelings of Fortune."	0		1	
1145	"Zambrano Row. He entered a large room and at the corner saw a stairway.
He knew this place. He had been here in the siege of San Antonio by the
Texans, and now he had the advantage over his guards, who were probably strangers."	3		4	
1146	Say you start with ten hens.  Each hatches out thirteen aigs, of which allow a loss of say six for childish accidents.  At the end of the year you has eighty chickens.	2	2		2
1147	Rustling is stealing cattle, and I once heard a well-known rancher say that all rich cattlemen had done a little stealing Your father drifted out here, and, like a good many others, he succeeded.	2	3		
1148	"So endeth this adventure of Sir Lamorack. And now it shall be told how it befel with Sir Tristram after Sir Lamorack had left Tintagel as aforetold.
Tail Piece Chapter Header"	0	1		
1149	He took his place at the head of the table and, filling his glass, bowed towards Hamel. Once more Gerald and his sister relapsed almost automatically into an indifferent and cultivated silence.	3	3		3
1150	He who, when torrid Summer's sickly glare Beat down upon the city's parched walls, Sat him within a room scarce 8 by 9, And, with tongue hanging out and	3	2		
1151	"Da Souza hesitated. ""Oom Sam,"" he said, ""my half-brother, keeps an eye on him. Sometimes he gets restless, he talks, but what matter? He has no money. Soon he must die. He is getting an old man!"" ""I shall send for him,"" Trent said slowly. ""He shall have his share!"""	0	3		
1152	"Isbister stopped abruptly. ""No?"" was all he said, but his bearing conveyed his helpful impulse. ""It may sound incredible,"" said the stranger, turning weary eyes to Isbister's face and emphasizing his words with a languid hand, ""but I have had no sleep—no sleep at all for six nights."""	2		1	
1153	Tell me my fears are wrong! Assure me I have not lost you—no, no, I won't even ask you. 'Tis not possible. I won't believe it of you—that you could be inconstant!	0		0	0
1154	Good it was to lay aside pick and spade and take sword Helmbiter again, and don mail and helm; and I made Harek fence with me, lest I should have lost my sword craft through use of the weapons whereby the churl conquers mother earth. But once the good sword was in my hand I forgot all but the warrior's trade.	3		3	3
1155	"I remembered my inability to fix my mind that morning, scarcely a month gone by, and how I had broken off to get my Daily Chronicle from the newsboy. I remembered how I went down to the garden gate as he came along, and how I had listened to his odd story of ""Men from Mars."""	3		3	3
1156	We were to hunt seals, and fish, and pry bivalves from the rocks at low tide, and build fires, and talk, and alternate between suspicion and security, between the danger of sedition and the insanity of men without defined purpose, world without end forever.	3		4	
1157	It wasn't easy to find open ground for a gallop, for there were endless small patches of cultivation and the gardens of country houses. We kept on the high land above the sea, and when we reached a bit of downland came on squads of Turkish soldiers digging trenches. Whenever we let the horses go we had to pull up sharp for a digging party or a stretch of barbed wire. Coils of the beastly thing were lying loose everywhere, and	5		5	5
1158	"And which way did they go this time?"" ""Noh, noh! First it wass two, and when they had gone then it wass three more."" ""I see. And two black crows—what might they mean now?"""	1		1	1
1159	Half of them had passed, or would on the morrow, yet vivid in my memory, obliterating every event that had come before or after, there remained the last scene before the gust of smoke blinded my eyes and the narrow slit that had given me sight of the interior of her cell closed between me and the Princess of Helium for a long Martian year. As if it were yesterday, I still saw the beautiful face of Phaidor, daughter of	3		3	3
1160	"But he found it stiff and perplexing. His motor-bicycle and Grubb's experiments and the ""mechanical drawing"" he had done in standard seven all helped him out; and, moreover, the maker of these drawings, whoever he was, had been anxious to make his intentions plain. Bert copied sketches, he made notes, he made a quite tolerable and intelligent copy of the essential drawings and sketches of the others. Then he fell into a meditation upon them."	3		2	
1161	Another was just behind it, and behind that yet another, and another, like great patient beasts rising from the coolness of a stream to follow a leader through the narrowness, of pasture bars. And in the booms, up the river, as far as the eye could see, were other logs awaiting their turn. And beyond them the forest trees, straight and tall and green, dreaming of the time when they should follow their brothers to the ships and go out into the world.	4		5	
1162	Our first idea had been to run due east till we struck the coast of	2		0	
1163	Folsom, the boss rustler, roared like a mad steer. He was wild to kill Jack. He begged for a gun to shoot out Jack's eyes. An' so were the other rustlers burnin' to kill him.	0		0	0
1164	CHAPTER XIV That woodman friend of mine proved so engaging it was difficult to get away, and thus when, dusk upon us, and my object still a long distance off, he asked me to spend the night at his hut, I gladly assented.	2		2	2
1165	As they passed the bend in the lane my brother saw the face of the dying man in the ditch under the privet, deadly white and drawn, and shining with perspiration.	4		4	4
1166	"""I'm going round your way and I'll see your friend home."" As Mr. Stanton professed himself ready for bed, the little party by the stove broke up. Lincoln fetched from a corner a dilapidated carpet-bag full of papers, and an old green umbrella, handle-less, tied with string about the middle, and having his name sewn inside in straggling letters cut out of white muslin. He and Stanton went out-of-doors into the raw autumn night."	5		4	
1167	Daylight was still lingering when Roy got up and went out on the porch. His keen ears had heard something. Helen fancied she herself had heard rapid hoof-beats.	3		1	
1168	She broke off with a little hysterical gasp, so that Mrs.	0		1	
1169	"What you loved, Madam, was only what you had lost, was only what you saw in this country—was only what this country means! Your past life, of course, I do not know."" ""Sometime,"" she murmured, ""I will tell you."" ""Whatever it was, Madam, you have been a brilliant woman, a power in affairs. Yes, and an enigma, and to none more than to yourself. You show that now. You only loved what Elisabeth loved."	0		1	
1170	As the little widow narrated her dream to one of the Misses Lester, the latter understood it to be something like the following: Mag saw a vast land with wooded hills and dales, green fields, lakes and rivers.	4		3	
1171	"""That may be lucky for you,"" he said, ""because the old witch-doctor, Zikali, has told him that he must not kill any English. What is your name? Mine is Thomas Halstead. I am interpreter here."" ""Allan Quatermain. Tell Zikali, whoever he may be, that if he sticks to his advice I will give him a good present."" ""What are you talking about?"" asked Dingaan suspiciously. ""He says he is English, no Boer, O king; that he was born across the"	0		1	
1172	The four gates themselves were set one at the inner, one at the outer side of each of these walls, and a hidden machinery so connected them, that of each set one could not open till the other was closed; and as for forcing them without war engines, one might as foolishly try to push down the royal pyramid with the bare hand.	2		3	
1173	"Lady Garvington frowned. ""What horrid things you say."" ""I only repeat what every one is saying."" ""Well, I'm sure I don't care,"" cried Lady Garvington recklessly, and rose to depart on some vague errand. ""I'm only in the world to look after dinners and breakfasts. Clara Greeby's a cat making all this fuss about—"" ""Hush! There she is."""	1		1	1
1174	The two Englishmen walked slowly back to the hut. Between them there had sprung up from the first moment a strong and mutual antipathy. The blunt savagery of Trent, his apparently heartless treatment of his weaker partner, and his avowed unscrupulousness, offended the newcomer much in the same manner as in many ways he himself was obnoxious to Trent.	3		1	
1175	Here were the great males towering in all the majesty of their imposing height; here were the gleaming white tusks protruding from their massive lower	2		2	2
1176	The hard work had all been done, and the two animals were resting, thoroughly exhausted, by the time Toad appeared on the scene, fresh and gay, remarking what a pleasant easy life it was they were all leading now, after the cares and worries and fatigues of housekeeping at home.	1		3	
1177	Then the milkman came swinging up the steps without his can and hurried off clattering down the road. Two or three minutes more elapsed, and then Rupert came bounding up also, his face pale but yet laughing; a not uncommon contradiction in him, denoting excitement.	3		2	
1178	"Lake George we shall surely find work for men to do. Rangers of wood and forest care nothing for winter ice and snow. We will go northward and eastward, asking news of Rogers and his Rangers. It may be that we shall fall in with them, and that we can make common cause with them against the common foe."""	0		3	
1179	He was just about to replace the board when it slipped from his hand and turned over, and he saw something written on the underside of it.	3		2	
1180	"Crash!
Flung from the seat, he sprawled through treetops, caught himself, fell to a lower limb, slid off and landed among thick bushes; and through these came to earth."	3		3	3
1181	"That afternoon in Prescott they purchased an outfit for Patches, and the following day set out for the long return drive to the ranch.
They had reached the top of the hill at the western end of the meadow lane, when they saw a young woman, on a black horse, riding away from the gate that opens from the lane into the Pot-Hook-S meadow pasture, toward the ranch buildings on the farther side of the field."	4		4	4
1182	God had made her soul a fair room; but his love had filled it with light, decked it with flowers and such artful furniture. He, in fact, as she very well knew, had given her the grace to deal queenly with herself.	3	3		3
1183	"And ... I'm hungry."" I stared at him. I had not suspected this aspect of the matter before. But it came to me at once—a positive craving. ""Yes,"" I said with emphasis."	0	2		
